renabap_id,nombre,provincia,departamento,localidad,cantidad_familias_aproximada,decada_de_creacion,anio_de_creacion,energia_electrica,efluentes_cloacales,agua_corriente,cocina,calefaccion,situacion_dominial,clasificacion_barrio,superficie_m2
1,Monterrey I,Buenos Aires,Pilar,Presidente Derqui,40.0,Década 1990,,Conexión a la red con medidor comunitario,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Otro / vacío,Otro tipo de seguridad en la tenencia,Asentamiento,11674
2,Malvinas II,Buenos Aires,La Plata,José Melchor Romero,290.0,Década 1990,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,98034
3,Ferroviario,Buenos Aires,La Plata,Angel Etcheverry,133.0,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Leña o carbón,Ninguna seguridad en la tenencia,Asentamiento,75850
4,La Favelita,Buenos Aires,La Plata,Tolosa,122.0,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,36865
5,Casaca,Buenos Aires,La Plata,City Bell,20.0,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,25754
6,La Güemes,Buenos Aires,La Plata,Manuel B. Gonnet,12.0,Década 1970,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,3422
7,8 y 489,Buenos Aires,La Plata,Manuel B. Gonnet,23.0,Década 1980,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,6551
8,La Fábrica,Buenos Aires,La Plata,Gorina,185.0,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Villa,48477
10,Hijos de Malvinas,Buenos Aires,La Plata,José Melchor Romero,110.0,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,37407
11,514 y 138,Buenos Aires,La Plata,José Hernández,59.0,Década 1980,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,42301
12,Villa Rica,Buenos Aires,La Plata,Villa Elisa,54.0,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,31808
13,El Progreso,Buenos Aires,La Plata,Villa Elisa,58.0,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,18833
14,El Rincón I,Buenos Aires,La Plata,Arturo Seguí,58.0,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,30123
15,La Fortaleza,Buenos Aires,La Plata,Villa Elisa,165.0,Década 1950,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,89231
16,El Canario,Buenos Aires,Almirante Brown,Burzaco,1350.0,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo comunitaria,Gas en garrafa,Energía eléctrica,Boleto de compra-venta,Asentamiento,267108
17,Vieja Estación,Buenos Aires,La Plata,José Melchor Romero,30.0,Década 1960,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,30176
18,El Triángulo,Buenos Aires,La Plata,Lisandro Olmos,100.0,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,20878
19,Campo Ramos,Buenos Aires,Almirante Brown,Longchamps,200.0,Década 1960,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,452246
20,Laprida,Buenos Aires,Quilmes,Quilmes,217.0,Década 2000,,Conexión a la red con medidor comunitario,Conexión formal a la red cloacal,Conexión formal a la red de agua con factura,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Villa,31246
21,El Rincón II,Buenos Aires,La Plata,Arturo Seguí,140.0,Década 2000,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Bomba de agua de pozo domiciliaria,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,48187
22,Colinas del Sol,Buenos Aires,La Plata,Gorina,137.0,Década 2000,,Conexión irregular a la red,Desagüe a cámara séptica y pozo ciego,Conexión formal a la red de agua con factura,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,55500
23,Malvinas Argentinas,Buenos Aires,La Plata,San Carlos,80.0,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,39732
24,La Banda,Buenos Aires,La Plata,San Carlos,400.0,Década 2010,2014.0,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,113794
25,Laberinto,Buenos Aires,Lomas de Zamora,Lavallol,50.0,Década 1940,,Conexión formal a la red con medidor domiciliario con factura,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Villa,9653
27,Monterrey II,Buenos Aires,Pilar,Presidente Derqui,40.0,Década 2000,,Conexión regular a la red con medidor domiciliario con consumo limitado,Desagüe a cámara séptica y pozo ciego,Bomba de agua de pozo domiciliaria,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,5265
28,El Rincón III,Buenos Aires,La Plata,Arturo Seguí,10.0,Década 2000,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,104247
30,La Cañada,Buenos Aires,Quilmes,Bernal Oeste,365.0,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión formal a la red de agua con factura,Gas en garrafa,Otro / vacío,Ninguna seguridad en la tenencia,Asentamiento,112777
31,Villa Las Rosas,Buenos Aires,La Plata,Gorina,200.0,Década 1990,,Conexión irregular a la red,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Conexión formal a la red de gas,Energía eléctrica,Ninguna seguridad en la tenencia,Asentamiento,66422
32,Urquiza,Buenos Aires,Avellaneda,Dock Sud,100.0,Década 1990,,Conexión a la red con medidor comunitario,Desagüe sólo a pozo negro/ciego u hoyo,Conexión irregular a la red de agua,Gas en garrafa,Energía eléctrica,Ninguna seguridad en la tenencia,Villa,13299
