renabap_id|nombre|provincia|departamento|localidad|cantidad_familias_aproximada|decada_de_creacion|anio_de_creacion|energia_electrica|efluentes_cloacales|agua_corriente|cocina|calefaccion|situacion_dominial|clasificacion_barrio|superficie_m2
1|NM1|PR1|DP1|LC1|CN1|DC1|ND1|NR1|FL1|GC1|CC1|CL1|ST1|CL1|SP1
2|NM2|PR1|DP2|LC2|CN2|DC1|ND1|NR2|FL1|GC2|CC1|CL1|ST2|CL1|SP2
3|NM3|PR1|DP2|LC3|CN3|DC2|ND1|NR2|FL2|GC3|CC1|CL2|ST2|CL1|SP3
4|NM4|PR1|DP2|LC4|CN4|DC3|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP4
5|NM5|PR1|DP2|LC5|CN5|DC2|ND1|NR2|FL1|GC1|CC1|CL1|ST2|CL1|SP5
6|NM6|PR1|DP2|LC6|CN6|DC3|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP6
7|NM7|PR1|DP2|LC6|CN7|DC4|ND1|NR3|FL2|GC1|CC1|CL1|ST2|CL1|SP7
8|NM8|PR1|DP2|LC7|CN8|DC5|ND1|NR2|FL1|GC2|CC1|CL3|ST2|CL2|SP8
10|NM9|PR1|DP2|LC2|CN9|DC2|ND1|NR2|FL2|GC2|CC1|CL1|ST2|CL1|SP9
11|NM10|PR1|DP2|LC8|CN10|DC4|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP10
12|NM11|PR1|DP2|LC9|CN11|DC2|ND1|NR2|FL1|GC3|CC1|CL1|ST2|CL1|SP11
13|NM12|PR1|DP2|LC9|CN12|DC1|ND1|NR2|FL2|GC3|CC1|CL3|ST2|CL1|SP12
14|NM13|PR1|DP2|LC10|CN12|DC2|ND1|NR3|FL1|GC1|CC1|CL3|ST2|CL1|SP13
15|NM14|PR1|DP2|LC9|CN13|DC6|ND1|NR2|FL1|GC2|CC1|CL3|ST2|CL1|SP14
16|NM15|PR1|DP3|LC11|CN14|DC5|ND1|NR3|FL2|GC4|CC1|CL3|ST3|CL1|SP15
17|NM16|PR1|DP2|LC2|CN15|DC5|ND1|NR2|FL1|GC2|CC1|CL3|ST2|CL1|SP16
18|NM17|PR1|DP2|LC12|CN16|DC2|ND1|NR2|FL2|GC3|CC1|CL1|ST2|CL1|SP17
19|NM18|PR1|DP3|LC13|CN17|DC5|ND1|NR3|FL2|GC1|CC1|CL3|ST2|CL1|SP18
